PAYROLL_ID,EMPLOYEE_ID,SALARY,NET_PAY,DEDUCTION_PERCENTAGE,PAY_FREQUENCY,LAST_PAY_DATE,TAX_DEDUCTION
1,786,103503.38,93917.63,26.38,Biweekly,2025-03-02,6913.37
2,805,38232.01,88706.25,29.1,Biweekly,2025-03-04,3603.22
3,749,63965.98,68992.72,9.34,Biweekly,2025-03-28,3744.32
4,353,44058.23,27621.7,10.42,Monthly,2025-03-26,9152.79
5,141,57299.26,44664.14,23.63,Monthly,2025-03-18,3880.28
6,190,107329.74,92233.79,12.82,Biweekly,2025-03-16,5307.97
7,855,61786.49,83603.79,21.77,Biweekly,2025-02-21,5001.58
8,154,100535.04,30177.24,20.2,Biweekly,2025-03-15,5132.3
9,434,68945.0,79228.02,13.78,Monthly,2025-03-26,9090.04
10,1,93045.2,80774.19,8.25,Monthly,2025-02-17,9788.75
11,400,37149.41,53469.81,9.23,Monthly,2025-03-29,4332.12
12,362,54902.27,67876.49,24.86,Biweekly,2025-03-05,8620.0
13,688,94594.79,60972.27,12.32,Biweekly,2025-03-18,2590.01
14,757,103203.06,88716.44,24.56,Biweekly,2025-03-27,9391.45
15,529,75086.06,37542.07,14.95,Biweekly,2025-03-01,9037.22
16,484,31208.69,20554.56,17.17,Monthly,2025-03-04,4553.9
17,668,61924.57,26678.95,17.14,Monthly,2025-02-05,9873.45
18,837,107293.61,28888.04,21.78,Monthly,2025-03-25,8984.62
19,236,46910.67,77394.71,24.63,Biweekly,2025-02-13,6400.43
20,143,62451.17,94946.02,9.46,Biweekly,2025-02-23,6268.48
21,526,119549.61,61139.61,5.59,Biweekly,2025-03-14,2821.06
22,835,75473.7,58153.38,21.93,Monthly,2025-02-25,2218.68
23,184,44014.0,55826.47,7.97,Biweekly,2025-02-07,8063.04
24,845,39126.06,42925.17,7.07,Monthly,2025-02-06,4311.49
25,117,100274.88,65722.58,20.43,Biweekly,2025-02-05,9466.28
26,437,60761.75,36367.07,21.42,Monthly,2025-03-17,9648.44
27,590,97601.73,39417.02,15.97,Monthly,2025-02-20,9157.15
28,580,106625.05,85888.83,12.2,Biweekly,2025-03-09,2626.65
29,594,77059.92,63231.62,6.43,Biweekly,2025-03-15,9878.24
30,270,119831.0,54156.57,12.4,Biweekly,2025-01-31,3681.75
31,927,55687.58,36620.28,15.97,Monthly,2025-02-20,8873.73
32,823,98710.37,63096.43,6.7,Monthly,2025-03-22,9644.95
33,35,66448.41,30841.2,24.63,Biweekly,2025-03-12,7027.39
34,517,76946.85,72057.51,12.08,Monthly,2025-02-13,4278.4
35,856,46004.46,24527.9,16.7,Monthly,2025-03-05,8648.04
36,961,98680.31,90145.86,7.58,Biweekly,2025-03-09,5767.23
37,978,39009.94,63556.57,29.45,Monthly,2025-03-15,3549.41
38,553,77759.18,71205.44,22.13,Biweekly,2025-03-12,4019.91
39,185,117021.86,46491.0,5.53,Monthly,2025-02-09,3560.88
40,422,38128.63,34411.54,17.22,Monthly,2025-02-09,8825.06
41,135,58447.9,87514.29,14.91,Biweekly,2025-02-14,7976.85
42,354,46256.43,36895.16,7.04,Biweekly,2025-03-06,4966.2
43,244,78009.41,70987.92,22.31,Biweekly,2025-03-24,3451.68
44,126,31784.9,53523.77,8.2,Biweekly,2025-02-27,5499.86
45,531,110771.4,71309.97,17.59,Monthly,2025-02-14,4388.51
46,689,51567.86,20057.39,23.82,Biweekly,2025-02-18,3619.44
47,876,96159.44,45839.11,23.5,Monthly,2025-02-19,9334.25
48,152,118082.86,59252.76,9.23,Monthly,2025-02-01,2954.58
49,734,102298.1,51026.41,20.87,Monthly,2025-01-31,7985.4
50,462,111907.78,91152.64,19.72,Monthly,2025-03-23,8170.17
51,178,93672.78,90758.77,21.85,Monthly,2025-02-03,7674.64
52,480,116180.02,68705.53,19.46,Monthly,2025-03-06,7041.6
53,606,111928.58,21506.98,21.89,Monthly,2025-03-09,7150.72
54,196,70377.66,21276.94,7.13,Monthly,2025-02-23,7131.4
55,108,89095.39,81273.77,25.99,Monthly,2025-02-02,9197.87
56,638,117035.81,58579.99,10.43,Biweekly,2025-03-20,4411.68
57,289,47455.88,88522.27,16.86,Biweekly,2025-02-13,8675.85
58,156,87194.34,86709.91,26.62,Monthly,2025-03-27,3257.8
59,302,44295.09,67448.87,12.29,Monthly,2025-02-15,2554.89
60,870,74138.86,67123.23,23.54,Biweekly,2025-02-23,5441.24
61,930,31044.31,62300.77,13.33,Monthly,2025-03-25,3312.23
62,413,72688.31,28598.22,20.14,Biweekly,2025-02-12,4318.75
63,748,65387.45,95563.14,20.59,Monthly,2025-03-20,7276.04
64,257,84884.3,36345.61,7.04,Monthly,2025-03-16,9900.39
65,779,33998.4,82797.04,20.56,Monthly,2025-02-20,6021.95
66,647,69451.49,48299.51,11.71,Biweekly,2025-02-15,9198.81
67,471,42278.84,38529.66,27.11,Monthly,2025-02-09,5358.74
68,383,55654.61,44017.47,27.48,Monthly,2025-02-02,5185.58
69,461,99174.44,36389.78,22.62,Monthly,2025-03-16,9084.15
70,196,34584.38,82284.2,25.8,Biweekly,2025-03-21,4467.04
71,635,76469.29,97091.7,10.48,Monthly,2025-03-21,5533.97
72,696,75746.77,24967.89,10.05,Biweekly,2025-02-18,2293.17
73,263,87355.33,85620.6,20.18,Monthly,2025-02-07,9558.99
74,236,85138.82,43717.94,5.54,Biweekly,2025-02-15,4990.07
75,78,101198.89,20984.52,24.47,Monthly,2025-03-13,6309.45
76,90,70138.78,56193.53,15.75,Biweekly,2025-02-21,6749.36
77,299,72955.04,56974.94,17.77,Monthly,2025-03-12,6322.41
78,512,43088.0,61155.94,18.92,Biweekly,2025-03-05,5303.23
79,62,107078.68,37920.81,21.56,Monthly,2025-02-27,3373.08
80,736,47031.05,95515.46,8.4,Monthly,2025-03-23,7237.35
81,567,80392.88,65160.71,10.31,Monthly,2025-03-04,9590.03
82,250,37664.25,99311.67,12.98,Monthly,2025-02-13,6359.88
83,839,88186.19,92488.28,26.1,Monthly,2025-02-16,2034.85
84,544,74643.66,97154.51,12.28,Biweekly,2025-01-30,4573.41
85,560,47751.18,66217.45,29.64,Monthly,2025-03-16,3706.41
86,975,108688.21,65058.12,13.76,Monthly,2025-02-11,4425.69
87,550,41968.46,29255.92,8.03,Monthly,2025-01-30,5976.67
88,564,37385.89,76190.19,8.29,Biweekly,2025-02-05,9764.52
89,467,88032.51,87982.24,27.11,Monthly,2025-03-30,7390.43
90,719,49423.86,65725.33,16.02,Monthly,2025-03-14,5159.84
91,403,111659.76,47217.77,15.19,Monthly,2025-02-01,8896.05
92,995,39657.79,57207.31,26.96,Biweekly,2025-03-24,8574.09
93,143,103688.09,94149.22,16.94,Monthly,2025-02-27,3170.42
94,42,98118.92,91441.63,23.93,Biweekly,2025-02-12,5469.05
95,884,61024.92,31773.49,14.9,Monthly,2025-03-23,3346.8
96,222,63888.95,94130.48,27.01,Biweekly,2025-03-16,2181.69
97,606,87528.44,49679.06,29.15,Biweekly,2025-02-23,4153.44
98,801,57568.45,63658.34,27.97,Monthly,2025-02-05,6671.92
99,713,119746.62,61523.34,7.76,Biweekly,2025-03-13,7755.13
100,317,96056.72,72960.83,19.93,Monthly,2025-02-14,6955.18
101,311,108286.59,59616.87,14.61,Monthly,2025-03-18,7495.54
102,739,93672.53,55167.13,15.47,Monthly,2025-03-30,3420.45
103,804,75903.49,89961.88,6.32,Biweekly,2025-03-12,2559.92
104,134,30481.06,27339.24,29.05,Biweekly,2025-02-19,9910.35
105,782,35994.58,46353.72,22.34,Monthly,2025-03-09,2724.23
106,522,77767.33,49326.9,29.34,Biweekly,2025-03-02,2681.03
107,165,40882.67,51494.08,6.65,Biweekly,2025-02-05,2795.75
108,995,50300.98,46050.09,28.47,Monthly,2025-02-14,8736.82
109,856,89916.08,55043.53,17.27,Biweekly,2025-03-02,9320.11
110,258,79808.04,70023.82,19.29,Monthly,2025-03-05,3027.87
111,342,51602.33,53752.77,17.86,Biweekly,2025-03-03,7696.73
112,934,79234.58,51956.94,18.85,Biweekly,2025-02-07,4046.07
113,21,62997.17,94161.57,27.31,Biweekly,2025-01-31,3097.95
114,713,101877.39,88886.27,19.54,Biweekly,2025-01-31,8704.43
115,228,33483.37,51748.34,29.12,Monthly,2025-03-06,4699.68
116,617,80616.84,83457.62,26.4,Monthly,2025-02-06,9555.61
117,87,41532.86,41122.42,21.94,Biweekly,2025-02-02,7559.86
118,407,72418.26,61206.68,18.42,Biweekly,2025-03-20,3960.91
119,827,52994.58,46131.5,6.79,Biweekly,2025-02-10,8276.88
120,660,54354.52,68614.75,25.77,Monthly,2025-02-28,9240.05
121,546,73834.33,91027.94,7.2,Monthly,2025-03-23,8133.29
122,335,37019.24,23381.28,5.88,Biweekly,2025-02-23,2995.3
123,155,100871.21,31664.2,18.0,Monthly,2025-02-11,4332.36
124,292,44478.84,67789.31,25.63,Biweekly,2025-02-11,2633.85
125,677,32481.8,21173.27,5.07,Biweekly,2025-03-12,5783.98
126,902,66405.49,99316.38,27.49,Biweekly,2025-02-15,2200.98
127,922,95858.52,36624.13,6.35,Biweekly,2025-02-19,9743.36
128,878,43977.19,26506.62,20.36,Biweekly,2025-02-03,5181.85
129,780,73351.04,59198.43,16.16,Monthly,2025-01-31,8431.99
130,76,35306.7,50667.25,17.21,Monthly,2025-02-19,7839.76
131,969,72483.49,65599.96,19.98,Biweekly,2025-03-11,2540.76
132,386,105840.64,47027.83,23.27,Biweekly,2025-01-31,6921.48
133,933,71097.6,39297.16,20.37,Monthly,2025-03-14,5579.45
134,462,30446.71,51174.61,12.24,Biweekly,2025-02-12,4324.3
135,474,66132.87,61338.86,19.83,Monthly,2025-02-11,3554.11
136,997,58944.76,88899.4,29.62,Monthly,2025-02-22,6325.45
137,338,91271.14,28986.98,16.62,Biweekly,2025-03-02,8701.22
138,251,80173.35,81428.77,6.61,Monthly,2025-02-02,4379.04
139,64,82535.99,22677.43,29.49,Monthly,2025-02-13,9243.39
140,884,75216.53,97839.5,7.87,Biweekly,2025-03-22,3260.45
141,68,40938.57,59872.0,6.99,Monthly,2025-02-21,2704.4
142,652,39813.01,23449.7,7.44,Biweekly,2025-01-30,8156.52
143,987,82949.54,35914.7,21.81,Biweekly,2025-02-17,9784.14
144,227,114104.77,67481.96,6.19,Biweekly,2025-02-25,9325.48
145,563,100878.73,23334.62,27.65,Biweekly,2025-02-12,7201.93
146,790,97897.52,69071.5,26.42,Biweekly,2025-02-25,2451.73
147,93,57433.21,73894.57,14.58,Monthly,2025-02-18,9847.39
148,976,105991.68,93550.84,17.69,Monthly,2025-03-15,6792.31
149,222,82523.23,70440.76,16.68,Monthly,2025-03-03,9478.33
150,590,98042.19,70096.46,5.84,Biweekly,2025-02-18,3983.36
151,150,85877.1,35083.72,20.15,Monthly,2025-03-26,6300.28
152,893,90092.94,24739.83,14.36,Monthly,2025-02-10,2134.21
153,865,33632.19,63598.55,5.09,Monthly,2025-03-13,2229.08
154,313,67770.48,27407.53,15.46,Biweekly,2025-03-26,2858.75
155,817,68918.0,49033.6,14.18,Biweekly,2025-02-12,2842.3
156,529,50307.81,73476.0,14.04,Monthly,2025-03-25,7682.32
157,205,98612.0,87010.2,18.51,Monthly,2025-02-01,5985.53
158,262,59406.0,42365.25,15.85,Monthly,2025-03-29,4017.7
159,705,63122.04,60453.57,19.06,Monthly,2025-02-09,3922.31
160,557,85208.66,39703.93,27.68,Monthly,2025-03-11,6815.26
161,757,50949.39,92121.34,14.07,Biweekly,2025-03-09,3344.19
162,32,31255.56,54005.4,18.05,Biweekly,2025-02-20,5763.47
163,843,69043.84,72045.21,19.07,Biweekly,2025-02-11,6040.43
164,147,90206.52,50225.42,22.58,Biweekly,2025-03-11,5973.59
165,214,101599.16,30036.46,10.89,Monthly,2025-03-12,9775.66
166,314,77783.09,25369.85,13.51,Biweekly,2025-03-30,3751.46
167,943,106281.11,92573.87,8.2,Monthly,2025-03-08,8226.77
168,820,111683.59,64796.2,28.69,Monthly,2025-03-25,9223.15
169,493,75451.3,42104.35,18.29,Biweekly,2025-03-16,7112.29
170,313,65168.75,57071.4,20.91,Biweekly,2025-02-28,8130.99
171,384,44951.29,71181.58,19.76,Monthly,2025-01-30,6678.86
172,122,78463.04,81860.8,16.3,Monthly,2025-02-23,6425.06
173,9,36033.48,23290.14,6.34,Monthly,2025-02-19,7303.17
174,579,102127.93,36501.16,12.27,Monthly,2025-01-30,4349.4
175,422,66165.13,25354.64,24.49,Monthly,2025-02-23,5179.77
176,450,76563.66,99280.62,11.64,Monthly,2025-03-07,4415.86
177,562,108167.55,54033.41,29.45,Monthly,2025-02-26,6865.34
178,805,45932.43,37701.44,20.22,Biweekly,2025-02-23,9363.44
179,157,113457.55,79874.35,23.81,Biweekly,2025-02-05,2347.6
180,998,45954.93,66904.38,17.42,Biweekly,2025-01-31,2616.55
181,609,78998.0,48597.59,11.99,Biweekly,2025-03-08,4285.83
182,762,53755.89,85526.51,24.47,Biweekly,2025-02-08,3296.93
183,937,38118.36,24283.3,11.3,Biweekly,2025-03-13,3676.42
184,368,97271.78,64549.6,20.97,Monthly,2025-03-08,7955.45
185,274,110202.5,78629.66,20.4,Biweekly,2025-02-24,5089.69
186,462,45223.2,27627.49,14.38,Monthly,2025-03-27,2669.64
187,717,105323.95,47936.35,7.76,Monthly,2025-03-16,2321.13
188,286,34305.39,21503.91,7.6,Biweekly,2025-01-30,4345.62
189,577,62377.37,55462.58,9.59,Monthly,2025-02-01,8660.31
190,537,107424.53,62848.23,29.77,Monthly,2025-03-24,2770.14
191,709,38738.97,80264.93,17.64,Biweekly,2025-02-26,5956.3
192,736,104005.14,34007.64,24.96,Biweekly,2025-02-27,6392.24
193,533,30365.99,88621.37,16.44,Biweekly,2025-03-03,3321.32
194,652,107923.76,91070.69,23.73,Biweekly,2025-03-24,8056.81
195,882,65700.84,20721.02,25.25,Biweekly,2025-02-01,9022.6
196,456,72979.5,44648.14,28.45,Biweekly,2025-02-08,6090.45
197,265,54828.64,54552.45,28.32,Monthly,2025-03-02,3231.58
198,834,41703.01,68748.12,9.57,Monthly,2025-02-08,2008.12
199,417,106904.79,40000.41,14.38,Monthly,2025-03-18,2279.91
200,156,93348.56,48751.31,28.09,Monthly,2025-03-10,7511.29
201,796,45833.66,52605.16,6.05,Monthly,2025-02-28,2186.74
202,25,98237.3,55554.54,9.31,Monthly,2025-02-12,2412.11
203,603,108762.27,57325.19,21.56,Biweekly,2025-03-27,8601.88
204,696,99954.09,57336.46,22.63,Biweekly,2025-03-11,4505.85
205,369,38849.14,92959.53,27.89,Monthly,2025-02-15,3683.79
206,363,31016.39,26328.41,14.06,Monthly,2025-03-21,7056.19
207,36,63719.25,58438.54,12.4,Monthly,2025-01-30,3321.84
208,506,41161.16,94057.07,13.22,Monthly,2025-03-27,8861.56
209,79,40642.93,55443.5,27.08,Monthly,2025-02-11,4534.39
210,845,106654.61,33297.4,10.65,Monthly,2025-02-27,8465.83
211,430,91686.74,65571.7,8.53,Biweekly,2025-02-08,6239.11
212,518,70068.88,62051.38,8.57,Biweekly,2025-02-10,6050.08
213,161,61453.26,29457.7,10.89,Monthly,2025-03-05,5437.27
214,405,46211.38,83583.61,26.23,Biweekly,2025-01-30,6710.43
215,103,102366.51,28676.44,15.84,Monthly,2025-03-01,7767.59
216,854,76321.19,95248.34,29.57,Monthly,2025-01-31,2533.9
217,495,116500.05,52859.58,28.87,Biweekly,2025-03-30,2729.07
218,308,30814.91,45827.93,23.35,Monthly,2025-03-10,5052.11
219,872,64674.89,46778.35,17.44,Monthly,2025-03-30,7915.58
220,332,36411.51,61334.39,11.32,Monthly,2025-03-26,3662.76
221,687,108305.07,44684.69,27.46,Monthly,2025-03-11,9206.29
222,552,70031.36,30359.41,24.96,Biweekly,2025-02-08,4363.8
223,693,82457.56,62417.69,15.68,Biweekly,2025-02-17,5140.34
224,813,92693.6,98052.28,6.39,Biweekly,2025-02-10,3388.09
225,856,57263.51,84831.3,18.67,Monthly,2025-03-03,7913.67
226,240,83863.41,29740.28,19.45,Monthly,2025-02-14,7702.79
227,615,90795.93,27948.45,28.04,Biweekly,2025-03-03,8763.06
228,32,49972.3,75042.74,22.91,Biweekly,2025-03-07,4487.98
229,181,109852.1,45776.11,29.55,Monthly,2025-02-14,9910.29
230,629,84527.51,72688.97,15.48,Monthly,2025-02-22,9381.75
231,541,40972.67,42710.41,15.62,Biweekly,2025-02-14,3028.21
232,732,54945.84,55957.57,12.09,Biweekly,2025-02-11,7322.76
233,985,78218.03,36841.0,14.25,Biweekly,2025-03-24,7714.97
234,281,57935.76,75946.42,13.01,Biweekly,2025-02-03,9086.06
235,451,90891.53,41614.63,14.99,Monthly,2025-03-02,2410.82
236,179,69213.85,37776.4,14.86,Monthly,2025-03-19,2369.82
237,500,82478.83,98328.29,10.82,Biweekly,2025-03-24,7796.21
238,299,67369.64,42217.04,26.98,Monthly,2025-02-17,9431.73
239,733,86480.67,70169.67,12.88,Biweekly,2025-03-15,2120.5
240,25,63798.22,67565.41,27.14,Biweekly,2025-03-14,7124.25
241,332,72979.46,26493.18,18.95,Biweekly,2025-02-28,2823.26
242,728,39186.36,21622.97,7.42,Biweekly,2025-02-21,6194.15
243,722,110890.77,58442.63,20.88,Biweekly,2025-03-04,2586.28
244,52,69089.7,96091.96,9.12,Monthly,2025-02-25,3218.92
245,313,61222.54,74519.53,26.56,Monthly,2025-02-04,3299.99
246,817,57274.28,42714.05,21.13,Monthly,2025-02-28,7226.7
247,746,88580.84,36020.98,26.81,Biweekly,2025-03-19,3150.52
248,324,97289.95,22311.93,29.77,Monthly,2025-03-10,2478.86
249,641,96708.57,95990.25,7.3,Biweekly,2025-02-15,2868.19
250,847,84264.13,39947.01,28.13,Monthly,2025-03-03,6087.79
251,437,78068.67,48036.85,14.78,Biweekly,2025-02-18,9460.33
252,395,104063.66,70432.67,24.59,Monthly,2025-03-28,9592.74
253,118,48812.72,91370.88,11.21,Monthly,2025-03-06,8354.06
254,181,71370.21,28656.85,28.61,Biweekly,2025-02-03,7213.42
255,215,49541.75,20984.4,13.15,Biweekly,2025-02-09,9292.91
256,539,61237.61,37444.02,11.84,Monthly,2025-02-07,9172.95
257,72,61172.45,84784.58,13.57,Biweekly,2025-02-10,7452.16
258,216,75792.8,61461.56,23.87,Biweekly,2025-03-03,5663.72
259,728,107448.86,42895.46,20.51,Biweekly,2025-02-14,9234.22
260,219,65866.35,36878.5,29.31,Biweekly,2025-03-02,9471.24
261,956,109885.92,34965.88,8.71,Biweekly,2025-03-02,6609.07
262,296,99676.67,59751.49,11.11,Biweekly,2025-03-20,8508.35
263,66,118992.64,44835.25,12.64,Monthly,2025-03-13,9886.17
264,420,113242.32,46116.92,29.43,Monthly,2025-02-16,6882.13
265,54,47140.84,87821.06,11.25,Biweekly,2025-03-15,7237.97
266,85,84099.33,51527.68,15.47,Monthly,2025-03-14,8869.05
267,861,76451.37,48649.72,26.78,Monthly,2025-03-23,8046.94
268,422,40949.91,46209.24,6.75,Monthly,2025-03-24,8812.24
269,862,43278.66,45704.24,10.35,Biweekly,2025-03-23,8299.46
270,299,60036.44,89953.2,19.31,Biweekly,2025-02-16,8279.78
271,883,119408.34,93563.95,20.58,Monthly,2025-03-10,8917.85
272,751,60752.87,84349.74,26.91,Biweekly,2025-02-02,9632.47
273,471,93019.1,59169.63,23.96,Biweekly,2025-02-20,6785.95
274,848,53469.97,80055.05,23.93,Biweekly,2025-02-07,3292.42
275,499,102305.12,68158.31,10.07,Biweekly,2025-03-14,8806.59
276,444,92461.28,46968.68,20.79,Biweekly,2025-02-25,9059.19
277,747,74544.82,81244.78,9.01,Biweekly,2025-03-22,5039.8
278,95,77628.69,81896.4,18.04,Biweekly,2025-03-28,2553.06
279,517,36191.92,28655.63,22.3,Monthly,2025-01-31,4514.64
280,33,68206.75,22268.02,24.32,Biweekly,2025-02-22,3525.89
281,910,107130.13,64526.46,19.39,Biweekly,2025-01-31,3525.36
282,292,36939.28,46330.35,19.89,Biweekly,2025-02-23,5075.46
283,605,102476.28,82068.97,14.44,Monthly,2025-03-05,5101.96
284,182,116705.82,52898.63,26.62,Biweekly,2025-03-22,3616.88
285,675,88838.03,62359.72,16.59,Biweekly,2025-03-20,4309.86
286,783,107742.35,25253.63,26.63,Monthly,2025-01-30,8975.43
287,818,51753.18,98227.04,26.35,Biweekly,2025-03-28,9802.6
288,550,96405.57,33117.13,18.93,Biweekly,2025-03-16,6493.55
289,77,72506.79,33741.55,14.93,Biweekly,2025-02-10,8818.85
290,646,51266.1,38698.12,27.01,Monthly,2025-03-23,5130.79
291,345,119068.1,60010.31,14.42,Biweekly,2025-03-12,4022.73
292,930,63419.28,36347.91,18.64,Biweekly,2025-02-05,3816.06
293,349,37747.25,64496.43,11.07,Biweekly,2025-03-01,8237.89
294,403,47514.81,58847.68,18.19,Biweekly,2025-02-11,4329.24
295,594,45234.14,65751.95,15.55,Biweekly,2025-02-16,6161.7
296,983,78767.63,55261.68,10.45,Monthly,2025-03-30,4111.15
297,834,55494.25,89749.28,24.91,Monthly,2025-02-20,6323.87
298,869,57328.75,48296.96,26.51,Monthly,2025-03-06,2425.38
299,674,100965.65,66769.46,27.09,Biweekly,2025-03-02,7211.08
300,313,42404.24,34041.5,18.66,Monthly,2025-02-27,6393.64
301,894,54598.48,29711.57,14.21,Biweekly,2025-03-06,2641.54
302,508,113322.8,23036.63,11.8,Monthly,2025-03-28,2207.55
303,17,52835.74,21504.77,10.09,Monthly,2025-02-16,4395.59
304,407,36462.15,49575.57,28.5,Monthly,2025-02-03,4415.64
305,395,54890.94,60318.6,19.03,Monthly,2025-03-02,4217.05
306,704,70412.52,62009.32,16.35,Monthly,2025-03-05,9068.49
307,136,75911.54,23703.85,16.97,Biweekly,2025-03-25,7932.48
308,94,58967.98,48747.7,15.17,Biweekly,2025-03-10,5564.8
309,444,31968.04,94502.49,25.57,Biweekly,2025-03-14,3749.81
310,490,47039.86,64382.72,5.51,Monthly,2025-03-02,5870.69
311,718,76495.97,48690.54,20.42,Biweekly,2025-03-14,7390.91
312,783,87146.07,24777.15,25.8,Biweekly,2025-03-19,5337.33
313,741,51266.78,52789.75,6.87,Biweekly,2025-03-29,9474.16
314,902,65604.59,32604.81,8.8,Biweekly,2025-03-29,4537.67
315,279,30890.82,39999.15,6.88,Biweekly,2025-02-07,3548.66
316,479,115799.26,97395.72,5.17,Biweekly,2025-02-09,7395.71
317,128,40883.7,50039.21,22.69,Monthly,2025-02-17,5034.76
318,303,35531.59,97917.2,6.74,Biweekly,2025-03-14,2359.17
319,39,116931.21,33253.62,10.79,Monthly,2025-03-28,4393.81
320,739,75967.59,62591.64,29.81,Monthly,2025-03-24,9563.63
321,328,118797.51,79373.43,17.92,Monthly,2025-02-20,3575.15
322,787,92200.42,87821.99,8.25,Monthly,2025-01-31,6803.39
323,53,113257.97,94537.02,8.78,Monthly,2025-02-28,4716.02
324,220,50855.44,87355.81,7.05,Monthly,2025-03-03,7126.54
325,323,47143.78,85318.49,7.01,Biweekly,2025-03-16,8600.11
326,42,49369.58,95570.08,24.24,Monthly,2025-03-10,5428.99
327,468,101120.94,44473.54,9.24,Monthly,2025-02-12,5694.55
328,484,68939.2,40164.09,5.85,Monthly,2025-03-13,6318.54
329,557,112047.64,37681.72,22.41,Biweekly,2025-02-23,3640.4
330,148,86300.82,86182.25,24.16,Monthly,2025-03-02,9284.82
331,496,80774.81,63529.24,20.65,Biweekly,2025-02-09,6465.74
332,698,67523.47,20834.22,5.11,Monthly,2025-02-07,5008.13
333,862,89641.32,99627.69,12.56,Monthly,2025-03-08,6551.97
